other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00373001,CITIZENS FOR TURNER,TRUE,REP,candidate,OH,3/20/13,5000
C00301838,STEVE CHABOT FOR CONGRESS,TRUE,REP,candidate,OH,3/20/13,5000
C00464339,DUFFY FOR CONGRESS,TRUE,REP,candidate,WI,3/22/13,5000
C00470807,MICHAEL GRIMM FOR CONGRESS,TRUE,REP,candidate,NY,3/22/13,5000
C00464032,TOM REED FOR CONGRESS,TRUE,REP,candidate,NY,3/22/13,5000
C00468421,FRIENDS OF JOE HECK,TRUE,REP,candidate,NV,3/26/13,5000
C00326629,KLINE FOR CONGRESS,TRUE,REP,candidate,MN,3/26/13,5000
C00326629,KLINE FOR CONGRESS,TRUE,REP,candidate,MN,3/26/13,5000
C00386748,VIRGINIA FOXX FOR CONGRESS,TRUE,REP,candidate,NC,3/28/13,5000
C00482281,FRIENDS OF RICH NUGENT,TRUE,REP,candidate,FL,3/29/13,5000
C00467571,"ANDY BARR FOR CONGRESS, INC.",TRUE,REP,candidate,KY,4/2/13,5000
C00475103,FITZPATRICK FOR CONGRESS,TRUE,REP,candidate,PA,4/9/13,5000
C00459255,"FRIENDS OF TODD YOUNG, INC.",TRUE,REP,candidate,IN,4/9/13,5000
C00541003,BENTIVOLIO FOR CONGRESS,TRUE,REP,candidate,MI,4/12/13,5000
C00365593,CANDICE MILLER FOR CONGRESS,TRUE,REP,candidate,MI,4/12/13,5000
C00520379,COLLINS FOR CONGRESS,TRUE,REP,candidate,NY,4/12/13,5000
C00520379,COLLINS FOR CONGRESS,TRUE,REP,candidate,NY,4/12/13,5000
C00506931,"FRIENDS FOR CHRIS STEWART, INC.",TRUE,REP,candidate,UT,4/12/13,5000
C00366773,"JOHN SULLIVAN FOR CONGRESS, INC",,REP,candidate,OK,4/12/13,5000
C00468959,SOUTHERLAND FOR CONGRESS,TRUE,REP,candidate,FL,4/12/13,5000
C00468959,SOUTHERLAND FOR CONGRESS,TRUE,REP,candidate,FL,4/12/13,5000
C00484683,STUTZMAN FOR CONGRESS,TRUE,REP,candidate,IN,4/12/13,5000
C00387126,WESTMORELAND FOR CONGRESS,TRUE,REP,candidate,GA,4/12/13,5000
