other_id,recipient_name,incumbent,recipient_party,recipient_type,recipient_state,date,amount
C00506170,TISEI CONGRESSIONAL COMMITTEE,,REP,candidate,MA,12/10/13,5000
C00506170,TISEI CONGRESSIONAL COMMITTEE,,REP,candidate,MA,12/10/13,5000
C00458679,BLAINE FOR CONGRESS,TRUE,REP,candidate,MO,12/13/13,5000
C00458679,BLAINE FOR CONGRESS,TRUE,REP,candidate,MO,12/13/13,5000
C00493361,RAZOR PAC,,REP,pac,,12/13/13,5000
C00195065,THE CONGRESSMAN JOE BARTON COMMITTEE,TRUE,REP,candidate,TX,12/13/13,5000
C00195065,THE CONGRESSMAN JOE BARTON COMMITTEE,TRUE,REP,candidate,TX,12/13/13,5000
C00083428,SENSENBRENNER COMMITTEE,TRUE,REP,candidate,WI,12/17/13,5000
C00083428,SENSENBRENNER COMMITTEE,TRUE,REP,candidate,WI,12/17/13,5000
C00260547,BACHUS FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AL,12/30/13,-5000
C00299404,FRELINGHUYSEN FOR CONGRESS,TRUE,REP,candidate,NJ,1/14/14,5000
C00444224,LANCE FOR CONGRESS,TRUE,REP,candidate,NJ,1/14/14,5000
C00545673,BYRNE FOR CONGRESS INC,TRUE,REP,candidate,AL,1/24/14,5000
C00549352,COMMITTEE TO ELECT VANCE MCALLISTER,TRUE,REP,candidate,LA,1/24/14,5000
C00075820,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,,REP,party,,1/24/14,15000
C00546853,WALTERS FOR CONGRESS,,REP,candidate,CA,1/31/14,5000
C00327189,VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE,,REP,pac,,2/3/14,5000
C00365692,FORBES FOR CONGRESS,TRUE,REP,candidate,VA,2/6/14,5000
C00472878,DIANE BLACK FOR CONGRESS,TRUE,REP,candidate,TN,2/7/14,5000
C00551275,FRENCH HILL FOR ARKANSAS,,REP,candidate,AR,2/7/14,5000
C00554535,CONGRESSIONAL HOUSE REPUBLICANS IN SERVICE PAC (CHRIS PAC),,REP,pac,,2/10/14,5000
C00551572,FRIENDS OF DAVID JOLLY,TRUE,REP,candidate,FL,2/10/14,5000
C00372201,TIM MURPHY FOR CONGRESS,TRUE,REP,candidate,PA,2/11/14,5000
C00347492,TIBERI FOR CONGRESS,TRUE,REP,candidate,OH,2/20/14,5000
C00347492,TIBERI FOR CONGRESS,TRUE,REP,candidate,OH,2/20/14,5000
C00554261,COMSTOCK FOR CONGRESS,,REP,candidate,VA,2/21/14,5000
C00554261,COMSTOCK FOR CONGRESS,,REP,candidate,VA,2/21/14,5000
C00466359,JIM RENACCI FOR CONGRESS,TRUE,REP,candidate,OH,2/24/14,5000
C00330894,"RYAN FOR CONGRESS, INC.",TRUE,REP,candidate,WI,2/24/14,5000
C00330894,"RYAN FOR CONGRESS, INC.",TRUE,REP,candidate,WI,2/24/14,5000
C00472241,BILL FLORES FOR CONGRESS,TRUE,REP,candidate,TX,2/25/14,5000
C00392688,"MCCAUL FOR CONGRESS, INC",TRUE,REP,candidate,TX,2/26/14,5000
C00392688,"MCCAUL FOR CONGRESS, INC",TRUE,REP,candidate,TX,2/26/14,5000
C00441014,ROB WITTMAN FOR CONGRESS,TRUE,REP,candidate,VA,2/26/14,5000
C00477323,PALAZZO FOR CONGRESS,TRUE,REP,candidate,MS,3/5/14,5000
C00506535,AX PAC,,REP,pac,,3/7/14,5000
C00546499,MIKE BOST FOR CONGRESS COMMITTEE,,REP,candidate,IL,3/7/14,5000
C00027466,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,,REP,party,,3/7/14,15000
C00472365,"YODER FOR CONGRESS, INC",TRUE,REP,candidate,KS,3/7/14,5000
C00510768,FRIENDS OF TREY RADEL,TRUE,REP,candidate,FL,3/11/14,-5000
C00326439,HOUSE CONSERVATIVES FUND,,REP,pac,,3/11/14,5000
C00287045,IOWANS FOR LATHAM,TRUE,REP,candidate,IA,3/11/14,-5000
C00496760,AMODEI FOR NEVADA,TRUE,REP,candidate,NV,3/14/14,5000
C00460063,BILLY LONG FOR CONGRESS,TRUE,REP,candidate,MO,3/14/14,5000
C00546846,CARLOS CURBELO CONGRESS,,REP,candidate,FL,3/14/14,5000
C00556670,CARR FOR CONGRESS,,REP,candidate,CA,3/14/14,5000
C00546739,FRIENDS OF STEWART MILLS INC,,REP,candidate,MN,3/14/14,5000
C00546739,FRIENDS OF STEWART MILLS INC,,REP,candidate,MN,3/14/14,5000
C00359034,GRAVES FOR CONGRESS,TRUE,REP,candidate,MO,3/14/14,5000
C00368522,JOE WILSON FOR CONGRESS COMMITTEE,TRUE,REP,candidate,SC,3/14/14,5000
C00463620,RIBBLE FOR CONGRESS,TRUE,REP,candidate,WI,3/14/14,5000
C00539825,CAPITO FOR WEST VIRGINIA,TRUE,REP,candidate,WV,3/21/14,5000
C00551572,FRIENDS OF DAVID JOLLY,TRUE,REP,candidate,FL,3/21/14,5000
C00466490,FRIENDS OF NAN HAYWORTH,,REP,candidate,NY,3/21/14,5000
C00522425,JET PAC,,REP,pac,,3/21/14,5000
C00512236,MCSALLY FOR CONGRESS,,REP,candidate,AZ,3/21/14,5000
C00540187,MORE CONSERVATIVES PAC (MCPAC),,REP,pac,,3/21/14,5000
C00554899,RYAN COSTELLO FOR CONGRESS,,REP,candidate,PA,3/21/14,5000
C00331397,SIMPSON FOR CONGRESS,TRUE,REP,candidate,ID,3/21/14,5000
C00464602,VICKY HARTZLER FOR CONGRESS,TRUE,REP,candidate,MO,3/21/14,5000
C00554352,WESTROM FOR CONGRESS,,REP,candidate,MN,3/21/14,5000
C00492454,GARDNER FOR CONGRESS,TRUE,REP,candidate,CO,3/25/14,5000
C00386847,CHARLIE DENT FOR CONGRESS,TRUE,REP,candidate,PA,3/28/14,5000
C00310136,FRIENDS OF JOE PITTS,TRUE,REP,candidate,PA,3/28/14,5000
C00504365,FUNDING REPUBLICANS SUPPORTING OPPORTUNITY AND GROWTH - JUMP POLITICAL ACTION COMMITTEE,,REP,pac,,3/28/14,5000
C00496323,HELP UNITE REPUBLICANS TODAY POLITICAL ACTION COMMITTEE,,REP,pac,,3/28/14,5000
C00432096,KEYSTONE ALLIANCE POLITICAL ACTION COMMITTEE,,REP,pac,,3/28/14,5000
C00376004,LOU BARLETTA FOR CONGRESS 2002,TRUE,REP,candidate,PA,3/28/14,5000
C00372201,TIM MURPHY FOR CONGRESS,TRUE,REP,candidate,PA,3/28/14,5000
C00370056,Devin Nunes Campaign Committee,TRUE,REP,candidate,CA,4/1/14,5000
C00386748,VIRGINIA FOXX FOR CONGRESS,TRUE,REP,candidate,NC,4/11/14,5000
C00545673,Byrne for Congress,TRUE,REP,candidate,AL,4/23/14,5000
C00556365,Katko For Congress Committee,,REP,candidate,NY,4/23/14,5000
C00461368,Buck for Colorado,,REP,candidate,CO,4/25/14,5000
C00411579,Acton PAC,,REP,pac,,4/29/14,5000
C00379735,COLE FOR CONGRESS,TRUE,REP,candidate,OK,4/29/14,5000
C00383828,CONAWAY FOR CONGRESS,TRUE,REP,candidate,TX,4/29/14,5000
C00462374,CRAWFORD FOR CONGRESS,TRUE,REP,candidate,AR,4/29/14,5000
C00200865,Ed Royce For Congress,TRUE,REP,candidate,CA,4/29/14,5000
C00444620,FRIENDS OF GLENN THOMPSON,TRUE,REP,candidate,PA,4/29/14,5000
C00505776,FRIENDS OF MIA LOVE,,REP,candidate,UT,4/29/14,5000
C00445023,Guthrie For Congress,TRUE,REP,candidate,KY,4/29/14,5000
C00460550,JEFF DUNCAN FOR CONGRESS,TRUE,REP,candidate,SC,4/29/14,5000
C00367862,MIKE ROGERS FOR CONGRESS,TRUE,REP,candidate,AL,4/29/14,5000
C00464487,NUNNELEE FOR CONGRESS,TRUE,REP,candidate,MS,4/29/14,5000
C00437913,OLSON FOR CONGRESS COMMITTEE,TRUE,REP,candidate,TX,4/29/14,5000
C00285254,Sanford for Congress,TRUE,REP,candidate,SC,4/29/14,5000
C00437756,Schock For Congress,TRUE,REP,candidate,IL,4/29/14,5000
C00197160,Texans For Lamar Smith,TRUE,REP,candidate,TX,4/29/14,5000
C00286187,Thornberry for Congress Committee,TRUE,REP,candidate,TX,4/29/14,5000
C00462523,TREY GOWDY FOR CONGRESS,TRUE,REP,candidate,SC,4/29/14,5000
C00200584,UPTON FOR ALL OF US,TRUE,REP,candidate,MI,4/29/14,5000
C00258855,Volunteers for Shimkus,TRUE,REP,candidate,IL,4/29/14,5000
C00333427,Walden For Congress,TRUE,REP,candidate,OR,4/29/14,5000
C00477745,WOMACK FOR CONGRESS COMMITTEE,TRUE,REP,candidate,AR,4/29/14,5000
